Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000148,2016-10-23,2016-10-23,,Harrison Ford,Raiders of the Lost Ark,1942-07-13
2,nm0000168,2016-10-23,2016-10-23,,Samuel L. Jackson,Pulp Fiction,1948-12-21
3,nm0000151,2016-10-23,2016-10-23,,Morgan Freeman,Se7en,1937-06-01
4,nm0000158,2016-10-23,2016-10-23,,Tom Hanks,Cast Away,1956-07-09
5,nm0000375,2016-10-23,2016-10-23,,Robert Downey Jr.,Iron Man,1965-04-04
6,nm0000552,2016-10-23,2016-10-23,,Eddie Murphy,The Nutty Professor,1961-04-03
7,nm0000129,2016-10-23,2016-10-23,,Tom Cruise,Top Gun,1962-07-03
8,nm0000355,2016-10-23,2016-10-23,,Anthony Daniels,Star Wars: Episode VII - The Force Awakens,1946-02-21
9,nm0000136,2016-10-23,2016-10-23,,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,1963-06-09
10,nm0000323,2016-10-23,2016-10-23,,Michael Caine,The Quiet American,1933-03-14
11,nm0424060,2016-10-23,2016-10-23,,Scarlett Johansson,Her,1984-11-22
12,nm0000198,2016-10-23,2016-10-23,,Gary Oldman,Tinker Tailor Soldier Spy,1958-03-21
13,nm0000245,2016-10-23,2016-10-23,,Robin Williams,Mrs. Doubtfire,1951-07-21
14,nm0000246,2016-10-23,2016-10-23,,Bruce Willis,Die Hard,1955-03-19
15,nm0001745,2016-10-23,2016-10-23,,Stellan Skarsgård,Good Will Hunting,1951-06-13
16,nm0000226,2016-10-23,2016-10-23,,Will Smith,The Fresh Prince of Bel-Air,1968-09-25
17,nm0005212,2016-10-23,2016-10-23,,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,1939-05-25
18,nm0001804,2016-10-23,2016-10-23,,Stanley Tucci,Big Night,1960-11-11
19,nm0000354,2016-10-23,2016-10-23,,Matt Damon,Good Will Hunting,1970-10-08
20,nm0000134,2016-10-23,2016-10-23,,Robert De Niro,Raging Bull,1943-08-17
21,nm0000139,2016-10-23,2016-10-23,,Cameron Diaz,There's Something About Mary,1972-08-30
22,nm0000553,2016-10-23,2016-10-23,,Liam Neeson,Kinsey,1952-06-07
23,nm0785227,2016-10-23,2016-10-23,,Andy Serkis,War for the Planet of the Apes,1964-04-20
24,nm0000332,2016-10-23,2016-10-23,,Don Cheadle,Crash,1964-11-29
25,nm0001774,2016-10-23,2016-10-23,,Ben Stiller,Zoolander,1965-11-30
26,nm0000307,2016-10-23,2016-10-23,,Helena Bonham Carter,Les Misérables,1966-05-26
27,nm0089217,2016-10-23,2016-10-23,,Orlando Bloom,The Lord of the Rings: The Fellowship of the Ring,1977-01-13
28,nm0000437,2016-10-23,2016-10-23,,Woody Harrelson,True Detective,1961-07-23
29,nm0000949,2016-10-23,2016-10-23,,Cate Blanchett,Carol,1969-05-14
30,nm0000210,2016-10-23,2016-10-23,,Julia Roberts,Pretty Woman,1967-10-28
31,nm0000146,2016-10-23,2016-10-23,,Ralph Fiennes,The Grand Budapest Hotel,1962-12-22
32,nm0006969,2016-10-23,2016-10-23,,Elizabeth Banks,The Hunger Games,1974-02-10
33,nm0000169,2016-10-23,2016-10-23,,Tommy Lee Jones,The Fugitive,1946-09-15
34,nm0914612,2016-10-23,2016-10-23,,Emma Watson,The Perks of Being a Wallflower,1990-04-15
35,nm0000093,2016-10-23,2016-10-23,,Brad Pitt,Mr. & Mrs. Smith,1963-12-18
36,nm0001191,2016-10-23,2016-10-23,,Adam Sandler,The Waterboy,1966-09-09
37,nm0705356,2016-10-23,2016-10-23,,Daniel Radcliffe,Harry Potter and the Deathly Hallows: Part 2,1989-07-23
38,nm1706767,2016-10-23,2016-10-23,,Jonah Hill,21 Jump Street,1983-12-20
39,nm0005562,2016-10-23,2016-10-23,,Owen Wilson,The Royal Tenenbaums,1968-11-18
40,nm0000242,2016-10-23,2016-10-23,,Mark Wahlberg,The Fighter,1971-06-05
41,nm0252961,2016-10-23,2016-10-23,,Idris Elba,Beasts of No Nation,1972-09-06
42,nm0177896,2016-10-23,2016-10-23,,Bradley Cooper,A Star Is Born,1975-01-05
43,nm0000120,2016-10-23,2016-10-23,,Jim Carrey,The Truman Show,1962-01-17
44,nm0000163,2016-10-23,2016-10-23,,Dustin Hoffman,Tootsie,1937-08-08
45,nm0000138,2016-10-23,2016-10-23,,Leonardo DiCaprio,Inception,1974-11-11
46,nm0719637,2016-10-23,2016-10-23,,Jeremy Renner,The Hurt Locker,1971-01-07
47,nm0000450,2016-10-23,2016-10-23,,Philip Seymour Hoffman,The Master,1967-07-23
48,nm0000113,2016-10-23,2016-10-23,,Sandra Bullock,The Proposal,1964-07-26
49,nm0262635,2016-10-23,2016-10-23,,Chris Evans,The Avengers,1981-06-13
50,nm0004266,2016-10-23,2016-10-23,,Anne Hathaway,Les Misérables,1982-11-12
