Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000229,2014-07-30,2014-07-30,,Steven Spielberg,Schindler's List,1946-12-18
2,nm0000881,2014-07-30,2014-07-30,,Michael Bay,Armageddon,1965-02-17
3,nm0000709,2014-07-30,2014-07-30,,Robert Zemeckis,Back to the Future,1951-05-14
4,nm0000116,2014-07-30,2014-07-30,,James Cameron,Avatar,1954-08-16
5,nm0001392,2014-07-30,2014-07-30,,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,1961-10-31
6,nm0000165,2014-07-30,2014-07-30,,Ron Howard,Arrested Development,1954-03-01
7,nm0000184,2014-07-30,2014-07-30,,George Lucas,Star Wars,1944-05-14
8,nm0000318,2014-07-30,2014-07-30,,Tim Burton,Edward Scissorhands,1958-08-25
9,nm0001060,2014-07-30,2014-07-30,,Chris Columbus,Harry Potter and the Sorcerer's Stone,1958-09-10
10,nm0634240,2014-07-30,2014-07-30,,Christopher Nolan,Dunkirk,1970-07-30
11,nm0000600,2014-07-30,2014-07-30,,Sam Raimi,Spider-Man,1959-10-23
12,nm0893659,2014-07-30,2014-07-30,,Gore Verbinski,Rango,1964-03-16
13,nm0000142,2014-07-30,2014-07-30,,Clint Eastwood,Million Dollar Baby,1930-05-31
14,nm0881279,2014-07-30,2014-07-30,,Lee Unkrich,Coco,1967-08-08
15,nm0946734,2014-07-30,2014-07-30,,David Yates,Harry Potter and the Deathly Hallows: Part 2,1963-10-08
16,nm0000631,2014-07-30,2014-07-30,,Ridley Scott,The Martian,1937-11-30
17,nm0000386,2014-07-30,2014-07-30,,Roland Emmerich,Independence Day,1955-11-10
18,nm0011470,2014-07-30,2014-07-30,,Andrew Adamson,Shrek 2,1966-12-01
19,nm0001149,2014-07-30,2014-07-30,,Richard Donner,Superman,1930-04-24
20,nm0240797,2014-07-30,2014-07-30,,Dennis Dugan,Happy Gilmore,1946-09-05
21,nm0718645,2014-07-30,2014-07-30,,Ivan Reitman,Up in the Air,1946-10-27
22,nm0001716,2014-07-30,2014-07-30,,Tony Scott,Domino,1944-06-21
23,nm0711840,2014-07-30,2014-07-30,,Brett Ratner,Red Dragon,1969-03-28
24,nm0005366,2014-07-30,2014-07-30,,Jay Roach,Trumbo,1957-06-14
25,nm0001756,2014-07-30,2014-07-30,,Barry Sonnenfeld,Men in Black,1953-04-01
26,nm0001752,2014-07-30,2014-07-30,,Steven Soderbergh,"Sex, Lies, and Videotape",1963-01-14
27,nm0005124,2014-07-30,2014-07-30,,John Lasseter,Toy Story 2,1957-01-12
28,nm0796117,2014-07-30,2014-07-30,,M. Night Shyamalan,Lady in the Water,1970-08-06
29,nm0000217,2014-07-30,2014-07-30,,Martin Scorsese,Taxi Driver,1942-11-17
30,nm0680846,2014-07-30,2014-07-30,,Todd Phillips,Due Date,1970-12-20
31,nm0005190,2014-07-30,2014-07-30,,Garry Marshall,Pretty Woman,1934-11-13
32,nm0001741,2014-07-30,2014-07-30,,Bryan Singer,X-Men,1965-09-17
33,nm0506613,2014-07-30,2014-07-30,,Shawn Levy,Arrival,1968-07-23
34,nm0757858,2014-07-30,2014-07-30,,Carlos Saldanha,Rio,1965-01-24
35,nm0269463,2014-07-30,2014-07-30,,Jon Favreau,Chef,1966-10-19
